Ad,Cins,Mənşə,Məna,Məna (AZ),Populyarlıq
"Aylin","Qız","Türk","Ayın parıltısı","Ayın ətrafındakı işıq, nur","98%"
"Zəhra","Qız","Ərəb","Parlaq, işıqlı","Üzü nurlu, çiçək kimi gözəl","99%"
"Nilay","Qız","Türk","Nil və Ay","Nil çayı kimi gözəl və Ay kimi parlaq","92%"
"Əli","Oğlan","Ərəb","Yüksək, əzəmətli","Uca, şərəfli","99%"
"Ümid","Oğlan","Türk","Ümid","Gələcəyə inam, arzu","88%"
"Nihad","Oğlan","Ərəb","Yüksəklik","Ucalıq, mərtəbə","85%"
"Ayan","Unisex","Türk","Bəlli, açıq","Göz qabağında olan, tanınan","90%"
"Araz","Oğlan","Türk","Çay adı","Azərbaycanın tarixi çayı","91%"
"Fidan","Qız","Türk","Ting, pöhrə","Yeni yetişən ağac budağı, gənc","93%"
"Günay","Qız","Türk","Günəş və Ay","Günəş kimi isti, Ay kimi zərif","92%"
