id,day_number,message,message_en,is_active
ced035b3-8303-4f5d-95fd-7e29e2539509,1,"Xoş gəldin, əziz Ana! Həyatının ən yeni və bəlkə də ən həyəcanlı səhifəsi bu gün açılır. İndi sənin üçün ən vacib olan tək şey dincəlmək və körpənlə ilk fiziki təması qurmaqdır; ev işləri, telefon zəngləri və ya qonaqlar gözləyə bilər. Bilməlisən ki, ilk gün gələn o qatı, sarımtıl süd (ağız südü) miqdarca az olsa da, tərkibi möcüzəvidir və körpən üçün ilk peyvənd rolunu oynayır. Qorxma ki, südün azdır, çünki körpənin mədəsi hələ bir gilas boydadır və o damcılar ona tamamilə kifayət edir. Özünü qəhrəman kimi aparmağa çalışma, ağrıların və yorğunluğun olması tamamilə təbiidir. Sadəcə uzan, körpəni iylə, onun istiliyini hiss et və bu anın dadını çıxar, çünki bu bağın təməli indi qoyulur.","Welcome, dear Mama! The newest and perhaps most exciting chapter of your life begins today. Right now, the most important thing for you is to rest and establish that first physical contact with your baby; housework, phone calls, and visitors can wait. You should know that the thick, yellowish milk (colostrum) that comes in on the first day, though small in quantity, is miraculous in composition and acts as your baby's first immunization. Don't worry if you think your milk supply is low, as your baby's stomach is still about the size of a cherry, and those few drops are perfectly sufficient for them. Don't try to be a superhero; it's completely natural to feel pain and fatigue. Just lie down, smell your baby, feel their warmth, and savor this moment, for the foundation of your bond is being laid right now.",true
f5dc2c0a-cfb4-4205-ad61-5a643545c576,2,"Bədənin 9 ay ərzində möhtəşəm bir iş gördü və indi daxili orqanların yavaş-yavaş öz yerinə qayıtmağa başlayır. Xüsusilə əmizdirmə zamanı qarnının aşağısında sancılar hiss edə bilərsən, narahat olma, bu, uşaqlığın yığılaraq əvvəlki ölçüsünə qayıtmasının müsbət əlamətidir. Cəmiyyətdəki südüm azdır, uşaq doymur, ona görə ağlayır kimi yanlış fikirlərə qapılma. Körpən təkcə ac olduğu üçün deyil, sənin qoxunu duymaq, ürək döyüntünü eşitmək və təhlükəsizlikdə olduğunu hiss etmək üçün tez-tez döş istəyə bilər. Ona bu güvəni ver, qucağına al və tez-tez əmizdir; unutma ki, südün miqdarı körpə əmdikcə artacaq.","Your body has done an amazing job over the past 9 months, and now your internal organs are slowly starting to return to their pre-pregnancy positions. You might feel contractions or cramps in your lower abdomen, especially during breastfeeding; don't worry, this is a positive sign that your uterus is contracting and returning to its original size. Don't fall for the common misconception that 'my milk supply is low, and my baby isn't getting enough, that's why they're crying.' Your baby may want to nurse frequently not just because they're hungry, but also to smell your scent, hear your heartbeat, and feel secure. Give them this sense of security, hold them close, and nurse often; remember that your milk supply will increase as your baby nurses more.",true
04d25f7c-e375-4514-ac39-dc2728da56e3,3,"Bu günlərdə süd vəzlərin dolmağa (südün gur gəlməsi) başlaya bilər ki, bu da sinədə ağırlıq və hərarət yarada bilər. Eyni zamanda, bədənindəki hormon səviyyəsi kəskin dəyişdiyi üçün özünü səbəbsiz yerə qəmgin, ağlağan və ya əsəbi hiss edə bilərsən; buna tibdə Baby blues deyilir. Bu hisslər sənin pis ana və ya bacarıqsız olduğunu göstərmir, sadəcə fizioloji bir prosesdir və keçicidir. Göz yaşlarını saxlama, əgər ağlamaq istəyirsənsə, içini boşalt və bu barədə yaxınlarınla danışmaqdan çəkinmə. Sən tək deyilsən, bu keçid dövrünü minlərlə ana sənin kimi yaşayır, dərindən nəfəs al və sadəcə zamanın axarına burax.","Around these days, your breasts may start to feel full (milk coming in), which can cause heaviness and warmth. At the same time, due to the sharp changes in your hormone levels, you might feel sad, tearful, or irritable for no apparent reason; this is medically known as the 'Baby Blues'. These feelings don't mean you're a bad or incapable mother; it's simply a physiological process and it's temporary. Don't hold back your tears; if you feel like crying, let it all out, and don't hesitate to talk about it with your loved ones. You are not alone; thousands of mothers experience this transitional period just like you. Take a deep breath and simply let time take its course.",true
5cdec801-b16c-449e-bf65-9a37a9e133f1,4,"Enerjini bərpa etmək üçün qidalanmana xüsusi fikir verməlisən, amma soyuq olar, meyvə yemə, su içmə kimi köhnəlmiş qadağaları bir kənara qoy. Sənin rəngarəng, vitaminli qidalanmağın və bol maye qəbul etməyin südün keyfiyyətindən daha çox, sənin öz fiziki gücünü toplamağın və psixoloji gümrahlığın üçün vacibdir. Körpənin göbək ciyəsinə gəldikdə isə, onu spirtlə yandırmağa və ya sarımağa ehtiyac yoxdur. Sadəcə quru və təmiz qalmasına diqqət et, bezini bağlayarkən göbək hissəsini açıq qoy ki, hava dəysin; hava təması sağalmanı sürətləndirən ən yaxşı vasitədir.","To restore your energy, you must pay special attention to your nutrition, but put aside outdated prohibitions like 'don't eat fruits' or 'don't drink water' because you'll catch a cold. Your colorful, vitamin-rich diet and ample fluid intake are crucial more for regaining your physical strength and psychological well-being than for the quality of your milk. As for your baby's umbilical cord stump, there's no need to clean it with alcohol or bandage it. Simply focus on keeping it dry and clean. When fastening the diaper, fold it down below the navel so that the stump is exposed to air; air exposure is the best way to speed up healing.",true
726dd7ee-a857-41fc-aad0-622f7b5ddf29,5,"Gecə ilə gündüzün yerini dəyişdiyi, yuxusuzluğun özünü göstərdiyi günlərə xoş gəldin, güclü ana! Ətrafdan uşağı qucağa öyrəşdirmə deyənlər ola bilər, amma bil ki, ilk aylarda körpəni ərköyünləşdirmək mümkün deyil. Onun sənə ehtiyacı var və qucağında daşımaq, dəri-dəriyə təmas həm onun beyin inkişafı, həm də sənin südünün artması üçün ən təsirli üsuldur. Ev işləri qaçmır, qablar yuyulmasa da olar, amma sənin yuxun və dincəlməyin hər şeydən önəmlidir. Körpən yatan kimi sən də gözlərini yumub dincəlməyə çalış, hətta 15 dəqiqəlik yuxu belə sənə enerji verəcək.","Welcome to the days when nights and days might blur, and sleeplessness becomes a regular companion, strong mama! Others might tell you not to 'spoil' your baby by holding them too much, but know that it's impossible to spoil a baby in the first few months. They need you, and carrying them in your arms and having skin-to-skin contact are the most effective methods for both their brain development and for boosting your milk supply. Housework isn't going anywhere, and the dishes can wait, but your sleep and rest are paramount. As soon as your baby falls asleep, try to close your eyes and rest too; even a 15-minute nap can give you a boost of energy.",true
1ddced84-3654-418b-9996-21c50802a72f,6,"Hər şeyi təkbaşına etmək, super ana obrazı yaratmaq məcburiyyətində deyilsən; kömək istəmək zəiflik yox, əksinə güclü olmaq deməkdir. Yoldaşından, anandan və ya yaxınlarından konkret işlərdə kömək istə, məsələn, yeməyi gətirmələrini və ya sən duş qəbul edərkən körpəyə nəzarət etmələrini xahiş et. Özünə qulluq etmək, təmizlənmək və bir fincan isti çay içmək eqoistlik deyil, sənin ana kimi vəzifələrini daha yaxşı yerinə yetirməyin üçün zərurətdir. Unutma, xoşbəxt və dincəlmiş ana, xoşbəxt körpə deməkdir, ona görə də yükünü bölüşməkdən çəkinmə.","You don't have to do everything by yourself or create the image of a 'super mom'; asking for help isn't a weakness, but rather a sign of strength. Ask your partner, mother, or close ones for help with specific tasks, for example, to bring you food or watch the baby while you shower. Taking care of yourself, freshening up, and enjoying a cup of warm tea isn't selfish; it's a necessity for you to better fulfill your duties as a mother. Remember, a happy and rested mother means a happy baby, so don't hesitate to share your burden.",true
33d098f8-b80c-478c-bb61-a7d57cd72e57,7,"Təbriklər, artıq bir həftədir ki, anasan və çətinliklərə baxmayaraq bu günləri uğurla adladın! Güzgüyə baxanda bəlkə hələ də qarnının tam yığılmadığını, saçlarının dağınıq olduğunu görə bilərsən, amma sən bir möcüzə böyüdürsən və bu halınla da çox gözəlsən. Bu gündən etibarən körpəni oyaq olduğu vaxtlarda nəzarət altında qısa müddətli (1-2 dəqiqə) qarnı üstə qoymağa (tummy time) başlaya bilərsən. Bu kiçik məşq onun boyun və kürək əzələlərini möhkəmləndirəcək, qaz sancılarına kömək edəcək və gələcək fiziki inkişafı üçün zəmin yaradacaq.","Congratulations, you've been a mother for a whole week now, and despite the challenges, you've successfully navigated these days! When you look in the mirror, you might still see that your belly hasn't fully contracted or that your hair is messy, but you are nurturing a miracle, and you are beautiful just the way you are. Starting today, you can begin to place your baby on their tummy (tummy time) for short, supervised periods (1-2 minutes) while they are awake. This small exercise will strengthen their neck and back muscles, help with gas pains, and lay the foundation for their future physical development.",true
55de4073-ef7d-4cff-84f4-bf2b8f830118,8,"Körpənin dərisində və ya gözlərinin ağında yüngül saralma hiss edə bilərsən; bu fizioloji sarılıqdır və əksər hallarda tez-tez əmizdirməklə bədəndən atılır. Lakin sarılıq ayaqlara doğru enirsə və uşaq çox halsızlaşıbsa, mütləq həkiminlə məsləhətləş. Eyni zamanda, otağın havasını dəyişməkdən qorxma; qırxı çıxmayıb, hava olmaz fikri sadəcə mifdir, təmiz oksigen həm sənin, həm də körpənin beyni üçün vacibdir. Pəncərəni aç, otağı havalandır və ya imkan varsa, körpəni havaya uyğun geyindirib qısa müddətli təmiz havaya çıxar (əgər həkimin icazə veribsə).","You might notice a slight yellowing of your baby's skin or the whites of their eyes; this is physiological jaundice and, in most cases, clears up as the body processes it with frequent breastfeeding. However, if the jaundice spreads downwards towards the legs and your baby becomes very lethargic, you must consult your doctor immediately. Also, don't be afraid to air out the room; the notion that babies shouldn't be exposed to air before 40 days is just a myth. Fresh oxygen is vital for both your and your baby's brain. Open the window, ventilate the room, or if possible, dress your baby appropriately for the weather and take them out for a short period of fresh air (if your doctor has approved).",true
94a133da-1fcc-4ffe-a24b-b9755a414c0b,9,"Nənələrimiz uşaq düz olsun deyə bərk bələməyi sevə bilər, amma müasir tibb sübut edib ki, körpənin omba oynağının sağlam inkişafı üçün ayaqları sərbəst hərəkət etməlidir. Əgər körpə öz əl-qol hərəkətindən diksinib oyanırsa, yalnız qollarını yüngülcə bələyə bilərsən (yarım bələk), amma ayaqlarının qurbağa kimi sərbəst qalmasına mütləq şərait yarat. Körpəni sıxıb hərəkətsiz saxlamaq onun qan dövranına və əzələ inkişafına mənfi təsir edə bilər. Onu sərbəst burax, qoy əlləri və ayaqları ilə dünyanı kəşf etsin.","While our grandmothers might have favored tight swaddling to ensure a baby's limbs grow straight, modern medicine has proven that for the healthy development of a baby's hip joints, their legs must be able to move freely. If your baby wakes up startled by their own arm movements, you can lightly swaddle only their arms (a half-swaddle), but absolutely ensure their legs remain free to move, like a frog. Restricting your baby tightly and keeping them immobile can negatively affect their circulation and muscle development. Let them be free; allow their hands and feet to explore the world.",true
4ba69869-3aaa-471c-bba8-3e9678c5f231,10,"Artıq 10 gündür ki, bütün diqqətin, fikrin və zikrin körpədədir, amma bu gün heç olmasa 15-20 dəqiqəni sırf özünə ayırmağa çalış. İlıq bir duş qəbul et, sevdiyin musiqini dinlə, dərinə qulluq et və ya sadəcə pəncərədən baxıb xəyallara dal. Yavaş-yavaş çanaq dibi əzələlərini hiss etməyə çalış (Kegel məşqlərinin ən yüngül forması) ki, bərpa prosesin sürətlənsin, amma ağır idman üçün hələ çox tezdir. Bədənini dinlə, ona hörmət et və unutma ki, sən övladın üçün ən böyük dayaqsan, sənin sağlam və ruhən güclü olmağın onun üçün ən böyük hədiyyədir.","For the past 10 days, all your attention, thoughts, and focus have been on your baby, but today, try to dedicate at least 15-20 minutes entirely to yourself. Take a warm shower, listen to your favorite music, pamper your skin, or simply look out the window and daydream. Gently try to engage your pelvic floor muscles (the lightest form of Kegel exercises) to speed up your recovery process, but it's still too early for strenuous exercise. Listen to your body, respect it, and remember that you are your child's greatest support; your health and mental strength are the greatest gift to them.",true
