id,day_number,title,body,emoji,send_time,is_active,created_at,updated_at,title_en,body_en
000cbfe1-b7f7-4d1c-8e2e-4509f7ace829,108,SPA günüdür? ✨,Körpənin dərisi suda qırışmasın deyə xüsusi krem ilə örtülür. Bəs sən? Bu gün özünə vaxt ayır! 💆‍♀️,✨,12:00,TRUE,2026-02-11 12:06:42.483494+00,2026-05-20 07:25:14.357854+00,Time for a spa day? ✨,Baby's skin is covered with a special cream to prevent wrinkling in the amniotic fluid. What about you? Take some time for yourself today! 💆‍♀️
00106d30-5d19-414e-a507-c025fa6d17d2,16,Zülal bombası 🍳,Səhər yeməyində yumurta var? Hüceyrələrin yenilənməsi üçün zülal vacibdir. Nuş olsun!,🍳,12:00,TRUE,2026-02-11 12:06:23.043711+00,2026-05-20 07:25:14.357854+00,Fuel up with protein! 🍳,Eggs for breakfast? Protein is essential for cell renewal! Enjoy your meal!
0247f27e-7ddb-489d-b670-ca491d8ccd50,288,Mən kökəlirəm axı! ⚖️,"Burada qaldığım hər gün bir az daha toppuş oluram. Yanaqlarım şirinləşir, amma sənin işin çətinləşir. Bağışla! 🙈",⚖️,12:00,TRUE,2026-02-11 12:10:25.743724+00,2026-05-20 07:25:14.357854+00,I'm gaining those healthy pregnancy pounds! ⚖️,"Every day I stay here, I get a little chubbier. My cheeks are getting sweeter, but your job is getting harder. Sorry! 🙈"
030e064d-37b0-4189-9cde-718dbc4298a7,220,Qoxunu hiss edəcəyəm...,"Məni qucağına alacağın o anı düşünürsən? Mən hər gün o anın xəyalı ilə böyüyürəm, Ana! 🌸",👶,12:00,TRUE,2026-02-11 12:07:06.211936+00,2026-05-20 07:25:14.357854+00,I'll start to recognize your scent...,"Are you thinking about the moment you'll hold me in your arms? I'm growing every day dreaming of that moment, Mama! 🌸"
039c5d10-ebc0-436e-9936-a148242fd9a3,129,Pasportu hazırdır! 🛂,Barmaq izləri tam formalaşdı. Dünyada heç kimdə olmayan o naxışlar artıq ondadır. Unikal biri gəlir!,🛂,12:00,TRUE,2026-02-11 12:06:46.709839+00,2026-05-20 07:25:14.357854+00,Your baby's passport is ready! 🛂,"Fingerprints are fully formed! Those unique patterns, found in no one else in the world, are now on your little one. A truly unique individual is on their way!"
06ad8151-63c5-48be-b794-51e51402550d,37,Batareyan bitir? 🔋,Enerjin tez tükənə bilər. Günorta qısa yuxu sənə çox yaxşı gələcək.,🔋,12:00,TRUE,2026-02-11 12:06:27.439764+00,2026-05-20 07:25:14.357854+00,Feeling drained? 🔋,Your energy might deplete quickly. A short nap in the afternoon will do you a world of good.
0839dbbd-18f9-4a16-8c8c-024d9b6c0fb5,71,Böyrəklər işə düşdü! 🚽,"İnanılmazdır, amma o artıq sidiyə gedir. Amniotik mayeni udur və ifraz edir. Dövr başlayır!",🚽,12:00,TRUE,2026-02-11 12:06:34.606339+00,2026-05-20 07:25:14.357854+00,Kidneys working overtime! 🚽,"It's incredible, but they're already peeing! They swallow and excrete amniotic fluid. The cycle begins!"
08979df0-c3a9-4a97-8501-c4fbc032480c,133,Manqo qədər oldum! 🥭,"Təxminən 15 sm. Dərim hələ nazikdir, amma piy qatım yaranır. İndi daha dolğun görünürəm, Ana!",🥭,12:00,TRUE,2026-02-11 12:06:47.502032+00,2026-05-20 07:25:14.357854+00,I'm the size of a mango! 🥭,"About 15 cm. My skin is still thin, but my fat layer is starting to form. I'm looking a little chubbier now, Mama!"
08cbf45e-1a2d-4043-a7ff-cbce10cda3f8,132,Sink: Gizli qəhrəman 🛡️,"Hüceyrələrim sürətlə bölünür. Mənə tikinti materialı lazımdır! Qırmızı ət, pendir və ya qoz-fındıq menyuda varmı?",🛡️,12:00,TRUE,2026-02-11 12:06:47.30199+00,2026-05-20 07:25:14.357854+00,Zinc: The unsung hero 🛡️,"My cells are dividing rapidly, and I need lots of building blocks! Is red meat, cheese, or nuts on your menu today?"
0a1c9fc7-d6fb-46ee-b640-782093d821ef,194,Yuva qururuq? 🐣,"Mənim çarpayım, balaca paltarlarım... Siyahını atamla birlikdə Ortaq Alış-verişdə hazırlayın! 📝",🐣,12:00,TRUE,2026-02-11 12:07:00.634351+00,2026-05-20 07:25:14.357854+00,Are we nesting? 🐣,"My crib, my tiny outfits... Get the checklist ready with Dad in 'Shared Shopping'! 📝"
0add760f-e392-4d33-9e33-dd2c593a0a0c,263,Corablarımı qoydun? 🧦,"Mən üşümək istəmirəm, Ana! Xəstəxana Çantası siyahısını son dəfə yoxla. Mənim ilk tulumum oradadırmı? 🥰",🧦,12:00,TRUE,2026-02-11 12:07:15.469807+00,2026-05-20 07:25:14.357854+00,Did you put my socks on? 🧦,"I don't want to be cold, Mom! Please double-check the 'Hospital Bag Checklist' one last time. Is my very first outfit in there? 🥰"
0aec0374-a2a9-4f72-92ad-01577161b993,97,Ağırlıq qaldırırsan? 🏋️‍♀️,Körpə artıq piy qatı yığır və skeleti bərkiyir. Sürətlə ağırlaşırıq!,🏋️‍♀️,12:00,TRUE,2026-02-11 12:06:40.191535+00,2026-05-20 07:25:14.357854+00,Lifting weights? Stay safe! 🏋️‍♀️,"Your baby is already accumulating a layer of fat, and their skeleton is hardening. We're gaining weight fast!"
0b20c112-5b84-42c9-aa1a-637151b2cd33,95,Qız yoxsa Oğlan? 🩷💙,"Cinsiyyət orqanları tam formalaşır. USM-də görmək çətin olsa da, o artıq kim olduğunu bilir! Səncə hansıdır?",🩷💙,12:00,TRUE,2026-02-11 12:06:39.762278+00,2026-05-20 07:25:14.357854+00,Boy or Girl? 🩷💙,"The reproductive organs are fully forming. Even if it's hard to tell on the ultrasound, your baby already knows who they are! What do you think they are?"
