id,day_number,title,body,emoji,send_time,is_active,created_at,updated_at,title_en,body_en
000abcf3-b4c9-4928-8d58-c7a8f138f07f,1309,Süni zəka və sükunət 🤖,"Uşağınızın qəfil yaranan kekələməsi və ya qəzəb krizləri sizi internetdə pis xəstəliklər axtarmağa vadar etdi? Dayanın! Anacan AI-dan bunun 3 yaş inkişaf sıçrayışı olub-olmadığını soruşub pediatr təsdiqli, rahatladıcı cavab alın.",,15:30:00,true,2026-04-10 19:37:56.216393+00,2026-04-10 19:37:56.216393+00,AI & Serenity 🤖,"Has your child's sudden stuttering or unexpected tantrums sent you down an internet rabbit hole, searching for scary illnesses? Stop right there! Ask Anacan AI if it's a 3-year developmental leap and get a pediatrician-approved, reassuring answer."
001946c3-28e7-4dd7-a8dd-6edeeb1c5013,964,Dairədən formaya 🎨,Qələmlə divarda və ya kağızda dairələr çəkir? Bu dəcəllik əslində böyük motorika sıçrayışıdır.,,15:00:00,true,2026-04-10 19:37:55.810273+00,2026-05-20 07:36:26.618814+00,From Circles to Shapes 🎨,Are they drawing circles on the walls or paper with a crayon? This 'mischief' is actually a fantastic leap in their fine motor skills development!
0027b4ad-2816-4a79-ae3a-7ddbdcf29e4b,92,Yuxu siqnalları 🥱,"Gözlərini ovuşdurur, qulağını dartır və ya boşluğa baxır? Gecə krizini gözləməyin. Bu siqnalları görən kimi dərhal otağı qaraldıb yuxu rutininə başlayın.",,19:30:00,true,2026-04-10 19:37:55.407264+00,2026-04-10 19:37:55.407264+00,Sleep Cues 🥱,
00481a1e-da97-4621-84c5-0bde2c4df340,1101,Görünməz izləyici 👻,"Divardakı kölgəsindən qorxub ağlamağa başladı? Kölgə ilə mübarizə 3 yaşın ən komik klassikasıdır. İşıqları söndürün, fənəri yandırın və kölgələri rəqs etdirərək bu qorxunu əyləncəli bir yuxu ritualına çevirin.",,19:30:00,true,2026-04-10 19:37:56.489096+00,2026-04-10 19:37:56.489096+00,Invisible tracker 👻,"Did they start crying, scared of their shadow on the wall? Shadow play is a hilarious classic around age three! Turn off the lights, grab a flashlight, and make the shadows dance, transforming that fear into a fun and comforting bedtime ritual."
0048f15c-3ab2-4568-b3e6-cf763bd916d3,884,Tərəvəzləri gizlət 🥦,Şorbadakı bütün tərəvəzləri kənara yığır? Mübarizə aparmayın. Tərəvəzləri püre halına salıb sousların və ya kotletin içinə gizlətmək ən qədim ana hiyləsidir.,,15:30:00,true,2026-04-10 19:37:56.216393+00,2026-04-10 19:37:56.216393+00,Hidden veggies for picky eaters 🥦,"Is your child picking out all the vegetables from their soup? Don't fight it! Pureeing vegetables and cleverly hiding them in sauces or meatballs is a classic, time-tested mom trick."
005096a2-1549-4208-a331-7e39e1da9587,411,Sürətli pediatr 🤖,"13.5 aylıq inkişaf sıçrayışları barədə məlumat lazımdır? Özünüzü yormayın, Anacan AI-dan dəqiq və pediatr təsdiqli bir siyahı istəyin.",,14:30:00,true,2026-04-10 19:37:55.407264+00,2026-04-10 19:37:55.407264+00,AI Pediatrician 🤖,"Feeling overwhelmed about 13.5-month growth spurts? Don't tire yourself out! Ask Anacan AI for a precise, pediatrician-approved list."
005f91e2-a696-4de0-bf24-bb840b614746,920,Boy və çəki sıçrayışı 📏,"Şalvarların boyu yenə qısaldı? Sürətlə böyüyür! İnkişaf İzləyiciyə cari ölçüləri daxil edib, yuxusuz gecələrinizin bəhrəsi olan o yüksələn inkişaf əyrisinə qürurla baxın.",,15:00:00,true,2026-04-10 19:37:55.810273+00,2026-05-20 07:36:26.618814+00,Growth and Weight Spurt 📏,Outgrown their pants again? They're having a growth spurt! Enter their current measurements into the Development Tracker and proudly observe that rising growth curve – the fruit of your sleepless nights.
00632cb5-4d20-4f2d-9bf8-82242042667b,273,Ağıllı nağıl saatı 🪄,Bu axşam fərqli hekayə olsun: Yuxuya getməyi sevən sehrli bulud. Səs tonunuzu alçaldın və atmosferi qurun.,,19:30:00,true,2026-04-10 19:37:55.407264+00,2026-04-10 19:37:55.407264+00,Smart Story Time 🪄,"Tonight, try a new bedtime story: 'The Magical Cloud Who Loves to Sleep.' Lower your voice and create a soothing atmosphere."
00691751-d785-4fc6-8036-d313adccdad6,614,Səhər sürprizi yoxlanışı 🧻,"Quru bezlər artır, yoxsa həzm ləngiyir? Səhər dəyişimini bez izləyicisinə qeyd edərək balacanın maye və lif ehtiyacını dərhal analiz edin.",,12:00:00,true,2026-04-10 19:37:54.992129+00,2026-05-20 07:38:13.813996+00,Morning Diaper Check! 🧻,"Are dry diapers becoming more frequent, or is digestion slowing down? Log the morning diaper change in the Diaper Tracker to instantly analyze your little one's fluid and fiber needs."
006ab58d-d1e7-4e1c-a78e-139ada266050,1371,Tərsinə geyinilən qürur 👕,"Köynəyi tərsinə geyinib və qətiyyətlə düzəltməyə qoymur? Öz işidir! Onun o mən bacardım deyən gözlərindəki özgüvəni, düzgün geyinməkdən daha vacibdir. Qoy bütün günü o cür fəxrlə gəzsin, bu onun azad seçimidir.",,15:00:00,true,2026-04-10 19:37:55.810273+00,2026-05-20 07:36:26.618814+00,Proudly worn inside out 👕,Are they wearing their shirt inside out and adamantly refusing to fix it? Let them! The self-confidence beaming from their 'I did it!' eyes is far more important than wearing it correctly. Let them proudly stroll around like that all day; it's their independent choice.
009a8d5c-9bba-4789-a6ee-e59d4c647832,1068,Komanda qüruru 🥂,Çətin bir həftəni geridə qoydunuz. Yoldaşınızla üz-üzə əyləşib biz bu uşağı həqiqətən yaxşı böyüdürük deyərək bir-birinizə motivasiya verin.,,19:30:00,true,2026-04-10 19:37:56.216393+00,2026-04-10 19:37:56.216393+00,Team Pride 🥂,"You've made it through a tough week. Sit face-to-face with your partner and motivate each other by saying, 'We are truly doing a great job raising this child!'"
00bb1bab-f1b2-408a-929e-869ffd6367c6,972,Pıçıltının sehri 🌙,"Otağın işıqlarını tamamilə söndürün. Yanına uzanıb gün ərzində baş verənləri çox alçaq səslə, qulağına pıçıldayın. Pıçıltı beyni yuxuya hazırlayan ən təbii və sakitləşdirici metoddur.",,19:30:00,true,2026-04-10 19:37:56.216393+00,2026-04-10 19:37:56.216393+00,The Magic of Whispers 🌙,
00f8be55-b6c0-4a3e-8a0e-ee6c807fdab5,1240,Canlı diktofon 🎙️,"Dünən yoldaşınızla danışarkən işlətdiyiniz təsadüfi və bəlkə də lazımsız bir sözü bu səhər oyuncağına deyir! O sizin canlı güzgünüzdür. Yanında danışdığınız emosiyalara xüsusi diqqət edin, o bir-bir kopyalayır.",,15:00:00,true,2026-04-10 19:37:55.810273+00,2026-05-20 07:36:26.618814+00,Little Repeater 🎙️,"This morning, your child is repeating a random, perhaps unnecessary, word you used yesterday while talking to your partner – to their toy! They are truly your living mirror. Pay extra attention to the emotions and words you use around them; they're copying everything."
012a4a46-c01f-4202-b7ec-b6dfb922b323,1144,Siyahıdakı Sürpriz 🛒,"Marketə getməmişdən əvvəl Alış-veriş siyahısını açdınız və arxadan gəlib telefonun ekranına basaraq ora nələrsə qaraladığını gördünüz. Bəli, o sizin rəqəmsal həyatınızı da kopyalayır!",,15:30:00,true,2026-04-10 19:37:56.216393+00,2026-04-10 19:37:56.216393+00,Shopping list surprises 🛒,"You opened your Shopping List before going to the market, and then saw them come from behind, tap your phone screen, and scribble something on it. Yes, they're copying your digital life too!"
01302c3b-60e6-4b0a-8a88-e63349585527,344,1 yaş qorxusu? 💬,"Uşağım hələ gəzmir, gecikirmi? kimi suallar beyninizi yeyir? Anacan Cəmiyyətində yazın. Hər uşağın öz mükəmməl tempi olduğunu və tək olmadığınızı görəcəksiniz.",,12:00:00,true,2026-04-10 19:37:54.992129+00,2026-05-20 07:38:13.813996+00,First Birthday Fears? 💬,"Are questions like 'My child isn't walking yet, are they delayed?' nagging at you? Post in the Anacan Community. You'll see that every child develops at their own perfect pace and you're not alone."
01326cb0-274c-49ad-8b92-7ce1373a0568,1148,"Üzr istəyib, eynisini etmək 🧸","Vurduğu və ya sındırdığı bir şey üçün səmimi şəkildə üzr istəyir, ancaq 5 dəqiqə sonra tam olaraq eyni hərəkəti təkrarlayır? O impulslarını idarə edə bilmir. Səbrlə təkrar-təkrar qaydanı izah edin.",,15:00:00,true,2026-04-10 19:37:55.810273+00,2026-05-20 07:36:26.618814+00,"Apologize, Then Do It Again 🧸","He sincerely apologizes for hitting or breaking something, but then repeats the exact same action 5 minutes later? He can't control his impulses yet. Patiently explain the rules again and again."
01349acb-919c-490a-bfce-f75e04518130,1042,Həkim sizinlədir 🩺,"Oyuncaq stetoskopunu alıb sinənizə qoyur və nəfəs al deyir. Siz xəstəsiniz, o isə baş həkim. Oynayın bu oyunu, uzanın və 5 dəqiqəlik də olsa müalicə zamanı gözlərinizi yumub dincəlin.",,15:00:00,true,2026-04-10 19:37:55.810273+00,2026-05-20 07:36:26.618814+00,Your Doctor is Here to Help 🩺,"Taking their toy stethoscope, putting it on your chest, and telling you to breathe? You're the patient, and they're the head doctor. Play along, lie down, and close your eyes to relax for at least 5 minutes during the 'treatment'."
0135df6f-fe6e-4faf-9136-dc65b2b29e33,266,Bay-bay vaxtı 👋,Biri evdən gedəndə əl yelləyərək sağollaşır? Bu sosial inkişafın çox şirin göstəricisidir! Onu bol-bol cəsarətləndirin.,,12:00:00,true,2026-04-10 19:37:54.992129+00,2026-05-20 07:38:13.813996+00,Waving Bye-Bye 👋,Do they wave goodbye when someone leaves home? This is a very sweet sign of social development! Encourage them plenty.
0136ed32-a803-4c48-aa0d-ab3379945e1c,1272,Cəmiyyətdə gizli oxucu olmaq 💬,"Çox yorulmusunuz və kimsəyə heç nə izah etmək, ya da dərdləşmək istəmirsiniz. Anacan Cəmiyyətinə daxil olub yalnız oxucu olun. Digər anaların eyni absurd krizlərlə necə mübarizə apardığını görmək ən güclü səssiz terapiyadır.",,15:30:00,true,2026-04-10 19:37:56.216393+00,2026-04-10 19:37:56.216393+00,Being a Secret Observer in Public 💬,You're absolutely exhausted and don't feel like explaining anything or confiding in anyone. Join the Anacan Community and simply be a silent observer. Seeing how other moms navigate similar absurd crises is the most powerful silent therapy.
0140116f-1e50-4656-93a0-277a1645b1ba,125,Duyğusal boşalma 📝,Çətin bir gün idi? Əhval gündəliyinə bütün yorğunluğunuzu səmimi şəkildə yazın.,,19:30:00,true,2026-04-10 19:37:55.407264+00,2026-04-10 19:37:55.407264+00,Emotional Release 📝,Was it a tough day? Open up your Mood Diary and honestly write down all your weariness and feelings.
014e3f07-72e8-47f8-b62e-ff583a9df29e,98,Mənimlə danış! 🗣️,"Sənə baxıb qəribə hecalar uydurur? Onun səsinə, pauzalarına reaksiya ver. O hazırda səninlə əsl dialoq qurur! Bu, dil inkişafının ən təməl addımıdır.",,12:00:00,true,2026-04-10 19:37:54.992129+00,2026-05-20 07:38:13.813996+00,Talk to Me! 🗣️,Are they looking at you and cooing with unusual sounds? Respond to their babbling and pauses. They're actually having a real dialogue with you! This is a fundamental step in their language development.
015a0c8f-c960-422b-8198-6bdb85909e68,803,Çətin gün idi? 📝,"Əhval gündəliyinə bugünkü stresi yazaraq ürəyinizi boşaldın. Bütün analar bu krizləri yaşayır, sən tək deyilsən.",,19:30:00,true,2026-04-10 19:37:56.216393+00,2026-04-10 19:37:56.216393+00,Was Today a Tough Day? 📝,Unburden your heart by writing today's stress in your mood journal. All mothers experience these challenges; you are not alone.
017dd4ef-6a6d-470c-a536-c9d8157780f2,1331,Qaranlığa dəvət 🌙,"Yataq otağında işıqlar sönəndə narahat olur? Otağın bir küncünə kiçik, isti rəngli (narıncı və ya qırmızı) bir gecə lampası qoyun. Otağın qalan hissəsi isə melatonin ifrazı və dərin yuxu üçün tam qaranlıq qalmalıdır.",,19:30:00,true,2026-04-10 19:37:56.489096+00,2026-04-10 19:37:56.489096+00,An Invitation to Darkness 🌙,"Do they get anxious when the lights go out in the bedroom? Place a small, warm-colored (orange or red) night light in one corner of the room. The rest of the space should remain completely dark to support melatonin production and ensure deep, restorative sleep."
01861a89-1cc1-4443-8c58-c79d90402305,603,Market krizləri 🛒,Mağazada istədiyini almadınız deyə özünü yerə çırpdı? Panikləməyin. Kənardakıların baxışlarına məhəl qoymadan sakitcə onun göz səviyyəsinə əyilin.,,14:30:00,true,2026-04-10 19:37:55.407264+00,2026-04-10 19:37:55.407264+00,Supermarket tantrums 🛒,Did they throw a tantrum because you didn't buy what they wanted at the store? Don't panic. Ignore the stares and calmly get down to their eye level.
01890bf6-ab5a-403c-96d2-696020ff0863,251,Yerdəki tələlər 🧸,Artıq otaqlar onun üçün kəşf zonasıdır. Sürünərək hər yerə çatır. Evin təhlükəsizliyini göz gəzdirməyin tam vaxtıdır.,,12:00:00,true,2026-04-10 19:37:54.992129+00,2026-05-20 07:38:13.813996+00,Floor Explorations and Traps 🧸,The rooms are now their discovery zone! They're crawling everywhere. It's high time to baby-proof your home.
