ANA MODULU,,,,HAMİLƏLİK MODULU,
Header and baby box,Axşamınız xeyir,,,Axşamınız xeyir,
,7 ay 1 gün 241 gün,,,Bu gün,
,1 yaş,,,Anacan hazırda şirin bibər boydayam. 17.həftə.6 gün. 2-ci trimestr. sm. qr. 156 gün qaldı.,
Daily info,Bu günün məlumatları,Və Kontent,,2nd trimeste recommendations mətnlri.,
,Anaya mesaj,Və Kontent,,Baby development.- qulaq barmaq,
Teething,Teething-də 7 ay 29 gün,,,Message from baby. gün,Kontent
,Normal inkişaf ,,,Body changes,Kontent
,7 aylıq üçün- 2 diş gözlənilir,,,baby s growth,Kontent
Sürətli keçid,,,,tip of the day,Kontent
Custom Cakes,8-ci aylıq tortunu sifariş ver!,,,Su vitamin,
Sleep tracking,Bu gün 1s 34d   Yatdı,,,Cəmiyətdə -Digər hamilə qadınlar ilə əlaqədə olun. ,
Feeding tracking,"Bu gün 0 dəfə, Sağ sinə, Sol sinə və bitdikdən sonra çıxan bildiriş- Sol sinə bitdi. Müddət 00 04 dəq",,,,
Diaper change,add sonrası çıxan bildiirş - Bez dəyişmə,,,,
Sleep summary,1 yuxu qeydə alındı 1 saat 34 dəq,,,,
Feeding summary,Qeyd yoxdur. Bu gün 0 qidalanma. Dünən. 13 İyun,,,,
Diaper change,1 dəfə,,,,
Development tracker,"kq, sm, boy, baş çevrəsi, son ölçü",,,PERİOD İZLƏMƏ MODULU,
Development milestones,"ilk təbəssüm, başını tutur, gülür, əl uzadır, dönür, oturur, sürünür, ayağa durur, ilk addımlar, ilk sözlər",,,Son menstruasiya tarixi,
Crisis calendar,Növbəti 37.həftə ,Və Kontent,,Periodunuz 97 gün gecikir mətni. Dr. Anacan-dan soruş( Dr-düzəlt),
Development recommendations,"6-9 ay, Əlavə qida, Hərəkət, Danışıq",Və Kontent,,Bu gün üçün. Yuxu keyfiyyəti. Məşq faydaları. Ən yüksək fertillik. tsiklini anlamaq. məşq və dövrünüz mətnləri. ,
Latest Articles,"Hamısı, 5 dəq, təxminən 2 ay əvvəl",Və Kontent,,Currently Ovulyasiya fazası. Periodum başladı.  Qeyd et. Seçilən tarix. Periodunuzun başladığı tarixi seçin. Tarix. ,
,,,,Periodu təqvimi. Tarix. Günə toxunarıq period gümlərini qeyd edin. Proünox. Ovulyasiya.,
Photoshoot,"AI ilə unikal körpə şəkilləri yaradın. Şəkil, Fon, Detallar. Maksimum 5MB, Foto qalereyası, 20 foto. Davam et. Geri. Paylaş. Yüklə. Sil. Bu əməliyat geri alına bilməz. Şəkil həmişəlik silinəcək. Sil və Ləğv et. ",Və Tema Adları,,Bu faza üçün məsləhətlər. ovulyasiya fazası. kontenti.,
Reseptlər,"Sağlam və dadlı reseptlər. Populyar. Resept axtar. Sağlam şirniyyatlar, Sağlam içkilər. Səhər Yeməyi. Nahar yeməyi. Şam yeməyi. İnqrediyentlər. Hazırlanma 1 addım.. Allergiya xəbərdarlığı mətni",Və Kontent,,Qarşıdan gələnlər növbəti period. redproduktiv döbvr. ovulyasiya dövrü.ı tarix və x gün qaldı.,
Bütün alətlər,"27 alət. Tortlar,( Hamısı, 1-ci ay, 2-ci ay vəs. Səbətə əlavə et. tort adları. Valyuta",Və Kontent,,Daily note- həftənin günlrəi və tarix.,
